locid;denot;municipality;subarea_nr;apprentice;R_00_04m;R_00_04f;R_05_09m;R_05_09f;R_10_14m;R_10_14f;R_15_17m;R_15_17f;R_18_19m;R_18_19f;R_20_24m;R_20_24f;R_25_29m;R_25_29f;R_30_34m;R_30_34f;R_35_39m;R_35_39f;R_40_44m;R_40_44f;R_45_49m;R_45_49f;R_50_54m;R_50_54f;R_55_59m;R_55_59f;R_60_64m;R_60_64f;R_65_69m;R_65_69f;R_70_74m;R_70_74f;R_75_79m;R_75_79f;R_80_84m;R_80_84f;R_85_89m;R_85_89f;R_90_xxm;R_90_xxf;HH_A2_C1;HH_A2_C2;HH_A2_C3;HH_A2_C4;HH_A2_C5;HH_A2_C0;HH_A1_C1;HH_A1_C2;HH_A1_C3;HH_A1_C4;HH_A1_C5;HH_A1_C0;E_Sec01;E_Sec02;E_Sec03;E_Sec04;E_Sec05;E_Sec06;E_Sec07;E_Sec08;E_Sec09;E_Sec10;F_Sec01;F_Sec02;F_Sec03;F_Sec04;F_Sec05;F_Sec06;F_Sec07;F_Sec08;F_Sec09;F_Sec10;FS_Sec01;FS_Sec02;FS_Sec03;FS_Sec04;FS_Sec05;FS_Sec06;FS_Sec07;FS_Sec08;FS_Sec09;FS_Sec10;R_wse_m;R_wse_f;outComm_m;outComm_f;HH_pair;ED_18_xx_02;ED_18_xx_03;ED_18_xx_04;ED_18_xx_05
3001;Herisau;3001;15;3065;437;400;518;413;537;476;317;296;212;198;469;476;504;489;650;611;641;647;603;615;617;567;556;515;465;408;334;369;297;288;220;325;228;344;141;272;100;182;29;116;565;677;244;57;17;410;142;64;24;2;0;90;488;3736;511;591;353;248;674;1344;0;665;122;200;80;117;82;29;160;131;0;84;4;18.7;6.4;5.1;4.3;8.6;4.2;10.3;10;7.9;4831;3616;1665;1670;1838;0.251193;0.456641;0.069724;0.179257
3002;Hundwil;3002;15;188;41;38;51;36;50;37;26;25;18;16;32;25;33;22;33;43;40;36;33;35;37;22;29;34;23;20;29;18;13;19;16;15;17;19;11;16;7;11;3;9;23;43;31;10;6;23;4;2;0;0;0;3;171;59;38;17;85;0;15;24;0;15;75;11;5;5;13;0;5;5;0;3;2.3;5.4;7.6;3.4;6.5;18;3;4.8;10;5;298;203;142;122;88;0.318275;0.476386;0.051335;0.125257
3003;Schönengrund;3003;15;173;12;17;18;22;22;19;11;7;8;5;13;8;12;11;17;17;19;20;16;18;22;10;7;14;18;17;12;8;10;8;4;8;7;9;2;6;2;1;1;1;13;18;10;7;2;15;0;1;0;0;1;4;52;33;2;4;13;0;5;5;0;16;25;9;1;1;6;0;3;3;0;2;2.1;3.7;2;4;2.2;18;1.7;1.7;10;8;140;94;76;63;46;0.242678;0.552301;0.050209;0.138075
3004;Schwellbrunn;3004;15;242;45;53;71;54;63;58;33;34;22;23;45;27;29;37;62;50;53;66;60;62;62;47;53;34;36;32;17;30;23;32;21;22;23;24;12;20;10;11;5;7;43;58;43;14;5;37;5;7;3;2;0;8;195;34;40;14;35;0;18;37;0;6;86;12;8;6;17;0;5;5;0;1;2.3;2.8;5;2.3;2.1;18;3.6;7.4;10;6;430;312;236;210;142;0.255814;0.50342;0.065663;0.162791
3005;Stein (AR);3005;15;230;52;42;39;52;53;48;27;34;18;23;42;25;36;37;57;51;51;50;44;57;48;38;46;49;48;36;24;24;29;36;26;25;20;25;5;12;8;13;1;4;48;75;22;11;4;38;5;2;0;0;0;6;115;113;47;20;34;3;25;17;0;18;51;23;12;5;10;1;12;8;0;4;2.3;4.9;3.9;4;3.4;3;2.1;2.1;10;4.5;404;303;222;203;149;0.201149;0.512931;0.073276;0.196839
3006;Urnäsch;3006;15;373;88;65;88;97;74;83;50;45;33;30;82;61;50;54;67;92;102;83;107;96;96;63;71;70;68;46;33;48;42;49;41;47;47;50;23;39;13;20;8;15;68;81;52;26;8;66;9;8;4;1;0;13;228;258;50;62;64;7;31;258;0;51;104;33;14;13;17;2;16;15;0;6;2.2;7.8;3.6;4.8;3.8;3.5;1.9;17.2;10;8.5;680;473;253;235;236;0.289083;0.428821;0.067249;0.129258
3007;Waldstatt;3007;15;239;61;60;56;56;64;62;33;32;22;22;63;38;50;41;54;67;66;61;60;66;70;54;55;42;62;47;33;42;29;38;40;36;18;30;15;30;7;20;0;8;56;76;42;14;2;56;5;2;4;0;0;12;92;330;33;28;21;4;37;40;0;23;40;21;8;7;11;2;10;8;0;3;2.3;15.7;4.1;4;1.9;2;3.7;5;10;7.7;515;358;304;255;178;0.222732;0.49713;0.055109;0.17566
3021;Bühler;3021;15;255;61;53;44;54;52;46;25;28;16;18;43;54;59;40;57;67;63;55;61;48;47;39;63;66;54;51;41;52;33;35;27;34;14;25;10;28;9;15;6;5;46;61;30;10;4;56;7;5;1;0;0;13;57;499;27;18;20;2;39;55;0;34;26;34;6;6;9;1;13;10;0;6;2.2;14.7;4.5;3;2.2;2;3;5.5;10;5.7;483;369;234;223;210;0.25058;0.475638;0.071926;0.154292
3022;Gais;3022;15;463;76;67;130;90;112;115;68;46;45;30;49;63;54;52;97;90;116;130;117;102;111;104;91;73;80;81;62;61;51;61;45;76;41;49;27;37;13;31;7;20;80;133;66;18;5;63;18;10;4;0;0;15;141;316;42;44;76;4;95;275;0;49;64;39;11;13;20;3;38;29;0;17;2.2;8.1;3.8;3.4;3.8;1.3;2.5;9.5;10;2.9;802;579;361;331;317;0.205489;0.47924;0.078114;0.215341
3023;Speicher;3023;15;543;113;91;152;124;115;128;82;63;55;42;81;83;70;93;129;148;177;169;160;158;139;158;173;142;117;138;112;98;78;87;57;75;45;63;29;44;17;29;5;14;143;168;77;13;2;104;21;20;4;0;0;23;96;308;105;56;69;15;138;162;0;87;39;47;28;14;14;4;66;40;0;17;2.5;6.6;3.8;4;4.9;3.8;2.1;4.1;10;5.1;1152;892;704;649;492;0.162311;0.47547;0.075653;0.259055
