"age";"s_m2000";"s_m2001";"s_m2002";"s_m2003";"s_m2004";"s_m2005";"s_m2006";"s_m2007";"s_m2008";"s_m2009";"s_m2010";"s_m2011";"s_m2012";"s_m2013";"s_m2014";"s_m2015";"s_m2016";"s_m2017";"s_m2018";"s_m2019";"s_m2020";"s_m2021";"s_m2022";"s_m2023";"s_m2024";"s_m2025";"s_m2026";"s_m2027";"s_m2028";"s_m2029";"s_m2030";"s_m2031";"s_m2032";"s_m2033";"s_m2034";"s_m2035";"s_m2036";"s_m2037";"s_m2038";"s_m2039";"s_m2040";"s_m2041";"s_m2042";"s_m2043";"s_m2044";"s_m2045";"s_m2046";"s_m2047";"s_m2048";"s_m2049";"s_m2050";"s_f2000";"s_f2001";"s_f2002";"s_f2003";"s_f2004";"s_f2005";"s_f2006";"s_f2007";"s_f2008";"s_f2009";"s_f2010";"s_f2011";"s_f2012";"s_f2013";"s_f2014";"s_f2015";"s_f2016";"s_f2017";"s_f2018";"s_f2019";"s_f2020";"s_f2021";"s_f2022";"s_f2023";"s_f2024";"s_f2025";"s_f2026";"s_f2027";"s_f2028";"s_f2029";"s_f2030";"s_f2031";"s_f2032";"s_f2033";"s_f2034";"s_f2035";"s_f2036";"s_f2037";"s_f2038";"s_f2039";"s_f2040";"s_f2041";"s_f2042";"s_f2043";"s_f2044";"s_f2045";"s_f2046";"s_f2047";"s_f2048";"s_f2049";"s_f2050"
0;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00450;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327;0.00327
1;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00051;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045;0.00045
2;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00038;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023
3;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011;0.00011
4;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00008;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003;0.00003
5;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00026;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014;0.00014
6;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016;0.00016
7;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00015;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013;0.00013
8;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010;0.00010
9;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00007;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
