locid;denot;RES_T
1;Aeugst am Albis;1544
2;Affoltern am Albis;10314
3;Bonstetten;3893
4;Hausen am Albis;3040
5;Hedingen;2991
6;Kappel am Albis;865
7;Knonau;1445
8;Maschwanden;553
9;Mettmenstetten;3724
10;Obfelden;4182
11;Ottenbach;2164
12;Rifferswil;714
13;Stallikon;2608
14;Wettswil am Albis;3784
21;Adlikon;587
22;Benken (ZH);704
23;Berg am Irchel;573
24;Buch am Irchel;728
25;Dachsen;1533
26;Dorf;593
27;Feuerthalen;2973
28;Flaach;1164
29;Flurlingen;1248
30;Andelfingen;1644
31;Henggart;1621
32;Humlikon;408
33;Kleinandelfingen;1821
34;Laufen-Uhwiesen;1369
35;Marthalen;1803
36;Oberstammheim;1064
37;Ossingen;1272
38;Rheinau;1645
39;Thalheim an der Thur;637
40;Trüllikon;989
41;Truttikon;435
42;Unterstammheim;845
43;Volken;268
44;Waltalingen;684
51;Bachenbülach;3083
52;Bassersdorf;7515
53;Bülach;13999
54;Dietlikon;6281
55;Eglisau;2893
56;Embrach;7744
57;Freienstein-Teufen;2127
58;Glattfelden;3544
59;Hochfelden;1579
60;Höri;2300
61;Hüntwangen;782
62;Kloten;17190
63;Lufingen;1172
64;Nürensdorf;4475
65;Oberembrach;990
66;Opfikon;12062
67;Rafz;3395
68;Rorbas;2201
69;Wallisellen;11939
70;Wasterkingen;560
71;Wil (ZH);1317
72;Winkel;3317
81;Bachs;577
82;Boppelsen;1018
83;Buchs (ZH);4182
84;Dällikon;3261
85;Dänikon;1749
86;Dielsdorf;4882
87;Hüttikon;533
88;Neerach;2366
89;Niederglatt;3737
90;Niederhasli;7589
91;Niederweningen;2220
92;Oberglatt;5120
93;Oberweningen;1290
94;Otelfingen;1852
95;Regensberg;487
96;Regensdorf;15098
97;Rümlang;5552
98;Schleinikon;637
99;Schöfflisdorf;1133
100;Stadel;1739
101;Steinmaur;2742
102;Weiach;994
111;Bäretswil;4172
112;Bubikon;5424
113;Dürnten;6082
114;Fischenthal;1961
115;Gossau (ZH);8685
116;Grüningen;3092
