locid;denot;RES_T
3001;Herisau;15882
3002;Hundwil;1038
3003;Schönengrund;459
3004;Schwellbrunn;1468
3005;Stein (AR);1355
3006;Urnäsch;2336
3007;Waldstatt;1710
3021;Bühler;1598
3022;Gais;2770
3023;Speicher;3853
3024;Teufen (AR);5535
3025;Trogen;1867
3031;Grub (AR);1038
3032;Heiden;4063
3033;Lutzenberg;1323
3034;Rehetobel;1742
3035;Reute (AR);716
3036;Wald (AR);881
3037;Walzenhausen;2181
3038;Wolfhalden;1689
3101;Appenzell;5447
3102;Gonten;1379
3103;Rüte;2915
3104;Schlatt-Haslen;1146
3105;Schwende;1935
3111;Oberegg;1796
3201;Häggenschwil;1143
3202;Muolen;1074
3204;Wittenbach;8486
3211;Berg (SG);846
3212;Eggersriet;2079
3213;Goldach;8441
3214;Mörschwil;3116
3215;Rorschach;8647
3216;Rorschacherberg;6483
3217;Steinach;2899
3218;Tübach;1057
3219;Untereggen;897
3231;Au (SG);6409
3232;Balgach;4024
3233;Berneck;3289
3234;Diepoldsau;5034
3235;Rheineck;3231
3236;St. Margrethen;5285
3237;Thal;5996
3238;Widnau;7470
3251;Altstätten;10381
3252;Eichberg;1266
3253;Marbach (SG);1779
3254;Oberriet (SG);7454
3255;Rebstein;4055
3256;Rüthi (SG);1967
3271;Buchs (SG);10399
3272;Gams;2867
3273;Grabs;6297
3274;Sennwald;4484
3275;Sevelen;4253
3276;Wartau;4704
3291;Bad Ragaz;4929
3292;Flums;4882
3293;Mels;7837
3294;Pfäfers;1754
3295;Quarten;2749
3296;Sargans;4765
3297;Vilters-Wangs;3891
3298;Walenstadt;4532
3311;Amden;1593
3312;Benken (SG);2228
3313;Kaltbrunn;3694
3314;Rieden;707
3315;Schänis;3573
3316;Weesen;1422
3331;Ernetschwil;1289
3332;Eschenbach (SG);5083
3333;Goldingen;1045
3334;Gommiswald;2634
3335;Jona;16947
3336;Rapperswil (SG);7421
3337;St. Gallenkappel;1719
3338;Schmerikon;3182
3339;Uznach;5369
3351;Alt St. Johann;1453
3352;Ebnat-Kappel;5007
3354;Krummenau;1664
3355;Nesslau;2001
3356;Stein (SG);398
3357;Wildhaus;1260
3371;Brunnadern;917
3372;Hemberg;944
3373;Krinau;278
3374;Lichtensteig;1893
3375;Oberhelfenschwil;1456
3376;St. Peterzell;1256
3377;Wattwil;8265
3391;Bütschwil;3550
3392;Kirchberg (SG);7904
3393;Lütisburg;1395
3394;Mosnang;2894
3401;Degersheim;3952
3402;Flawil;9320
3403;Ganterschwil;1111
3405;Jonschwil;3134
3406;Mogelsberg;2261
3407;Oberuzwil;5521
3408;Uzwil;11977
3421;Bronschhofen;4297
3422;Niederbüren;1414
3423;Niederhelfenschwil;2599
3424;Oberbüren;3946
3425;Wil (SG);16392
3426;Zuzwil (SG);3798
3441;Andwil (SG);1557
3442;Gaiserwald;7495
3443;Gossau (SG);16805
3444;Waldkirch;3040
320301;St. Gallen West;21824
320302;St. Gallen Centrum;23735
320303;St. Gallen Ost;27065
