"sector_id";"sector";"m2000";"m2001";"m2002";"m2003";"m2004";"m2005";"m2006";"m2007";"m2008";"m2009";"m2010";"m2011";"m2012";"m2013";"m2014";"m2015";"m2016";"m2017";"m2018";"m2019";"m2020";"m2021";"m2022";"m2023";"m2024";"m2025";"m2026";"m2027";"m2028";"m2029";"m2030";"m2031";"m2032";"m2033";"m2034";"m2035";"m2036";"m2037";"m2038";"m2039";"m2040";"m2041";"m2042";"m2043";"m2044";"m2045";"m2046";"m2047";"m2048";"m2049";"m2050"
1;"agriculture";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;"production";0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135;0.0135
3;"wholesale";0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222;0.0222
4;"retail";0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014;0.014
5;"gastronomy";0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114;0.0114
6;"finance";0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226
7;"services fC";0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226
8;"other services";0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226;0.0226
9;"others";0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177;0.0177
10;"non movers";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
