"age";"p_rel_parent";"pc_rel_parent";"p_rel_in_rethome"
0;0;0;0
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0.015;0.015;0
16;0.0308;0.0458;0
17;0.051;0.0968;0
18;0.071;0.1678;0
19;0.1;0.2678;0
20;0.118;0.3858;0
21;0.12;0.5058;0
22;0.1165;0.6223;0
23;0.1;0.7223;0
24;0.081;0.8033;0
25;0.062;0.8653;0
26;0.0445;0.9098;0
27;0.028;0.9378;0
28;0.014;0.9518;0
29;0.01;0.9618;0
30;0.0072;0.969;0
31;0.0053;0.9743;0
32;0.0036;0.9779;0
33;0.003;0.9809;0
34;0.0028;0.9837;0
35;0.0026;0.9863;0
36;0.0024;0.9887;0
37;0.0022;0.9909;0
38;0.002;0.9929;0
39;0.0017;0.9946;0
40;0.0015;0.9961;0
41;0.0013;0.9974;0
42;0.0011;0.9985;0
43;0.0009;0.9994;0
44;0.0006;1;0
45;1;1;0
46;1;1;0
47;1;1;0
48;1;1;0
49;1;1;0
50;1;1;0
51;1;1;0
52;1;1;0
53;1;1;0
54;1;1;0
55;1;1;0
56;1;1;0
57;1;1;0
58;1;1;0
59;1;1;0
60;1;1;0
61;1;1;0.0005
62;1;1;0.001
63;1;1;0.0015
64;1;1;0.002
65;1;1;0.0012
66;1;1;0.0012
67;1;1;0.0012
68;1;1;0.0012
69;1;1;0.0012
70;1;1;0.0005
71;1;1;0.0005
72;1;1;0.0005
73;1;1;0.0005
74;1;1;0.0005
75;1;1;0.0022
76;1;1;0.0022
77;1;1;0.0022
78;1;1;0.0022
79;1;1;0.0022
80;1;1;0.0108
81;1;1;0.0108
82;1;1;0.0108
83;1;1;0.0108
84;1;1;0.0108
85;1;1;0.0194
86;1;1;0.0194
87;1;1;0.0194
88;1;1;0.0194
89;1;1;0.0194
90;1;1;0.077
91;1;1;0.077
92;1;1;0.077
93;1;1;0.077
94;1;1;0.077
95;1;1;1
96;1;1;1
97;1;1;1
98;1;1;1
99;1;1;1
100;1;1;1
101;1;1;1
102;1;1;1
103;1;1;1
104;1;1;1
105;1;1;1
106;1;1;1
107;1;1;1
108;1;1;1
109;1;1;1
110;1;1;1
111;1;1;1
112;1;1;1
113;1;1;1
114;1;1;1
115;1;1;1
116;1;1;1
117;1;1;1
118;1;1;1
119;1;1;1
120;1;1;1
