"age";"p_relocation"
0;0.112
1;0.1006
2;0.0891
3;0.0777
4;0.0662
5;0.0548
6;0.051
7;0.047
8;0.046
9;0.045
10;0.0448
11;0.055
12;0.075
13;0.095
14;0.118
15;0.1419
16;0.1872
17;0.2326
18;0.2779
19;0.3232
20;0.3685
21;0.37
22;0.36
23;0.35
24;0.3366
25;0.3287
26;0.3132
27;0.2978
28;0.2824
29;0.2669
30;0.2515
31;0.2346
32;0.2176
33;0.2007
34;0.1838
35;0.1668
36;0.1623
37;0.1579
38;0.1534
39;0.1489
40;0.1444
41;0.1379
42;0.1315
43;0.125
44;0.1185
45;0.112
46;0.1091
47;0.1061
48;0.1031
49;0.1001
50;0.0971
51;0.1001
52;0.1031
53;0.1061
54;0.1091
55;0.112
56;0.1041
57;0.0961
58;0.0881
59;0.0802
60;0.0722
61;0.0727
62;0.0732
63;0.0737
64;0.0742
65;0.0747
66;0.0722
67;0.0697
68;0.0672
69;0.0647
70;0.0622
71;0.0632
72;0.0642
73;0.0652
74;0.0662
75;0.0672
76;0.0672
77;0.0672
78;0.0672
79;0.0672
80;0.0672
81;0.0672
82;0.0672
83;0.0672
84;0.0672
85;0.0672
86;0.0672
87;0.0672
88;0.0672
89;0.0672
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
