locid;code;name;surface_m2;total_surface
3001;11;Zone for residential use (Wohnzone);1468771;3812729
3001;12;Zone for commercial and industrial use (Gewerbe und Industrie);609484;3812729
3001;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);563563;3812729
3001;14;Core zone development (Kernzone Entwicklung);184002;3812729
3001;15;Zone for public buildings ;653043;3812729
3001;16;eingeschränkte Bauzonen;299338;3812729
3001;17;Tourism and leisure zone (Tourismus und FreizeitZone);34528;3812729
3002;11;Zone for residential use (Wohnzone);39718;201125
3002;12;Zone for commercial and industrial use (Gewerbe und Industrie);33307;201125
3002;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);38145;201125
3002;14;Core zone development (Kernzone Entwicklung);17801;201125
3002;15;Zone for public buildings ;19382;201125
3002;16;eingeschränkte Bauzonen;7048;201125
3002;17;Tourism and leisure zone (Tourismus und FreizeitZone);45724;201125
3003;11;Zone for residential use (Wohnzone);68187;149473
3003;12;Zone for commercial and industrial use (Gewerbe und Industrie);1755;149473
3003;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);21441;149473
3003;14;Core zone development (Kernzone Entwicklung);29966;149473
3003;15;Zone for public buildings ;15423;149473
3003;16;eingeschränkte Bauzonen;12701;149473
3004;11;Zone for residential use (Wohnzone);155747;389830
3004;12;Zone for commercial and industrial use (Gewerbe und Industrie);53043;389830
3004;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);68248;389830
3004;14;Core zone development (Kernzone Entwicklung);15767;389830
3004;15;Zone for public buildings ;58511;389830
3004;16;eingeschränkte Bauzonen;26863;389830
3004;17;Tourism and leisure zone (Tourismus und FreizeitZone);11651;389830
3005;11;Zone for residential use (Wohnzone);109240;299160
3005;12;Zone for commercial and industrial use (Gewerbe und Industrie);25790;299160
3005;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);64286;299160
3005;14;Core zone development (Kernzone Entwicklung);21264;299160
3005;15;Zone for public buildings ;30786;299160
3005;16;eingeschränkte Bauzonen;47794;299160
3006;11;Zone for residential use (Wohnzone);164452;622543
3006;12;Zone for commercial and industrial use (Gewerbe und Industrie);123680;622543
3006;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);139500;622543
3006;14;Core zone development (Kernzone Entwicklung);22669;622543
3006;15;Zone for public buildings ;109886;622543
3006;16;eingeschränkte Bauzonen;49328;622543
3006;17;Tourism and leisure zone (Tourismus und FreizeitZone);13028;622543
3007;11;Zone for residential use (Wohnzone);250719;537834
3007;12;Zone for commercial and industrial use (Gewerbe und Industrie);93007;537834
3007;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);53197;537834
3007;14;Core zone development (Kernzone Entwicklung);28866;537834
3007;15;Zone for public buildings ;62764;537834
3007;16;eingeschränkte Bauzonen;40732;537834
3007;17;Tourism and leisure zone (Tourismus und FreizeitZone);8549;537834
3021;11;Zone for residential use (Wohnzone);170370;545425
3021;12;Zone for commercial and industrial use (Gewerbe und Industrie);130366;545425
3021;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);62202;545425
3021;14;Core zone development (Kernzone Entwicklung);50043;545425
3021;15;Zone for public buildings ;71864;545425
3021;16;eingeschränkte Bauzonen;60580;545425
3022;11;Zone for residential use (Wohnzone);302107;841136
3022;12;Zone for commercial and industrial use (Gewerbe und Industrie);76032;841136
3022;13;Zone for commercial and residential use (Gewerbezone mit Wohnen);196119;841136
3022;14;Core zone development (Kernzone Entwicklung);45278;841136
