locid;denot;obzfa_r;obzfa_j;obzfa_r_j
3001;Herisau;0;0;0
3002;Hundwil;0;0;0
3003;SchÃ¶nengrund;0;0;0
3004;Schwellbrunn;0;0;0
3005;Stein (AR);0;0;0
3006;UrnÃ¤sch;0;0;0
3007;Waldstatt;0;0;0
3021;BÃ¼hler;0;0;0
3022;Gais;0;0;0
3023;Speicher;0;0;0
3024;Teufen (AR);0;0;0
3025;Trogen;0;0;0
3031;Grub (AR);0;0;0
3032;Heiden;0;0;0
3033;Lutzenberg;0;0;0
3034;Rehetobel;0;0;0
3035;Reute (AR);0;0;0
3036;Wald (AR);0;0;0
3037;Walzenhausen;0;0;0
3038;Wolfhalden;0;0;0
3101;Appenzell;0;0;0
3102;Gonten;0;0;0
3103;RÃ¼te;0;0;0
3104;Schlatt-Haslen;0;0;0
3105;Schwende;0;0;0
3111;Oberegg;0;0;0
3201;HÃ¤ggenschwil;0;0;0
3202;Muolen;0;0;0
3204;Wittenbach;0;0;0
3211;Berg (SG);0;0;0
3212;Eggersriet;0;0;0
3213;Goldach;0;0;0
3214;MÃ¶rschwil;0;0;0
3215;Rorschach;0;0;94538
3216;Rorschacherberg;0;0;0
3217;Steinach;0;0;0
3218;TÃ¼bach;0;0;0
3219;Untereggen;0;0;0
3231;Au (SG);0;0;0
3232;Balgach;0;0;0
3233;Berneck;0;0;0
3234;Diepoldsau;0;0;0
3235;Rheineck;0;0;0
3236;St. Margrethen;0;0;0
3237;Thal;0;0;0
3238;Widnau;0;0;0
3251;AltstÃ¤tten;0;0;0
3252;Eichberg;0;0;0
3253;Marbach (SG);0;0;0
3254;Oberriet (SG);0;0;0
3255;Rebstein;0;0;0
3256;RÃ¼thi (SG);0;0;0
3271;Buchs (SG);0;0;0
3272;Gams;0;0;0
3273;Grabs;0;0;0
3274;Sennwald;0;0;0
3275;Sevelen;0;0;0
3276;Wartau;0;0;0
3291;Bad Ragaz;0;0;0
3292;Flums;0;0;0
3293;Mels;0;0;0
3294;PfÃ¤fers;0;0;0
3295;Quarten;0;0;0
3296;Sargans;0;0;0
3297;Vilters-Wangs;0;0;0
3298;Walenstadt;0;0;0
3311;Amden;0;0;0
3312;Benken (SG);0;0;0
3313;Kaltbrunn;0;0;0
3314;Rieden;0;0;0
3315;SchÃ¤nis;0;0;0
3316;Weesen;0;0;0
3331;Ernetschwil;0;0;0
3332;Eschenbach (SG);0;0;0
3333;Goldingen;0;0;0
3334;Gommiswald;0;0;0
3335;Jona;0;0;0
3336;Rapperswil (SG);0;0;133312
3337;St. Gallenkappel;0;0;0
3338;Schmerikon;0;0;0
3339;Uznach;0;0;0
3351;Alt St. Johann;0;0;0
3352;Ebnat-Kappel;0;0;0
3354;Krummenau;0;0;0
3355;Nesslau;0;0;0
3356;Stein (SG);0;0;0
3357;Wildhaus;0;0;0
3371;Brunnadern;0;0;0
3372;Hemberg;0;0;0
3373;Krinau;0;0;0
3374;Lichtensteig;0;0;0
3375;Oberhelfenschwil;0;0;0
3376;St. Peterzell;0;0;0
3377;Wattwil;0;0;0
3391;BÃ¼tschwil;0;0;0
3392;Kirchberg (SG);0;0;0
3393;LÃ¼tisburg;0;0;0
3394;Mosnang;0;0;0
3401;Degersheim;0;0;0
3402;Flawil;0;0;0
3403;Ganterschwil;0;0;0
3405;Jonschwil;0;0;0
3406;Mogelsberg;0;0;0
3407;Oberuzwil;0;0;0
3408;Uzwil;0;0;0
3421;Bronschhofen;0;0;0
3422;NiederbÃ¼ren;0;0;0
3423;Niederhelfenschwil;0;0;0
3424;OberbÃ¼ren;0;0;0
3425;Wil (SG);0;0;0
3426;Zuzwil (SG);0;0;0
3441;Andwil (SG);0;0;0
3442;Gaiserwald;0;0;0
3443;Gossau (SG);0;0;0
3444;Waldkirch;0;0;0
320301;St. Gallen West;0;0;0
320302;St. Gallen Centrum;0;278952;552559
320303;St. Gallen Ost;0;0;148285
