locid;denot;municipality;subarea_nr;sales_FA;sales_FA_centr;Area_tot;Area_settl;Area_cultivable;Rent_4flat;LP_res;LP_mix;LP_ind;Bus_dev_index;urban_centre;loc_type;var1;var2;var3;var4;var5;var6;var7;var8;var9;var10
3001;Herisau;3001;15;20124;0;2518;391;1759;979;290;180;130;-1.04;0;92;0;0;0;0;0;0;0;0;0;0
3002;Hundwil;3002;15;437;0;2396;76;1030;792;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3003;Schönengrund;3003;15;0;0;521;23;342;887;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3004;Schwellbrunn;3004;15;424;0;1740;88;1128;933;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3005;Stein (AR);3005;15;441;0;937;78;708;1026;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3006;Urnäsch;3006;15;1405;0;4825;164;1618;815;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3007;Waldstatt;3007;15;651;0;674;71;482;936;290;180;130;-1.04;0;92;0;0;0;0;0;0;0;0;0;0
3021;Bühler;3021;15;577;0;561;59;406;833;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3022;Gais;3022;15;1809;0;2123;132;1075;1014;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3023;Speicher;3023;15;1412;0;821;132;572;1050;290;180;130;-1.04;0;92;0;0;0;0;0;0;0;0;0;0
3024;Teufen (AR);3024;15;6136;0;1525;214;1031;1186;290;180;130;-1.04;0;92;0;0;0;0;0;0;0;0;0;0
3025;Trogen;3025;15;1364;0;1001;78;563;942;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3031;Grub (AR);3031;15;621;0;425;54;281;949;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3032;Heiden;3032;15;4359;0;748;126;503;1067;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3033;Lutzenberg;3033;15;87;0;227;44;153;1088;290;180;130;-1.04;0;92;0;0;0;0;0;0;0;0;0;0
3034;Rehetobel;3034;15;646;0;675;73;431;963;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3035;Reute (AR);3035;15;329;0;499;34;221;982;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3036;Wald (AR);3036;15;0;0;682;37;485;1043;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3037;Walzenhausen;3037;15;1020;0;698;92;426;945;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3038;Wolfhalden;3038;15;669;0;695;79;454;994;290;180;130;-1.04;0;94;0;0;0;0;0;0;0;0;0;0
3101;Appenzell;3101;16;20334;0;1686;180;1258;1126;210;180;100;-0.89;0;94;0;0;0;0;0;0;0;0;0;0
3102;Gonten;3102;16;1037;0;2471;122;1350;991;210;180;100;-0.89;0;94;0;0;0;0;0;0;0;0;0;0
3103;Rüte;3103;16;2484;0;4083;138;1501;1115;210;180;100;-0.89;0;94;0;0;0;0;0;0;0;0;0;0
3104;Schlatt-Haslen;3104;16;28;0;1792;77;1181;862;210;180;100;-0.89;0;94;0;0;0;0;0;0;0;0;0;0
3105;Schwende;3105;16;1804;0;5753;119;797;882;210;180;100;-0.89;0;94;0;0;0;0;0;0;0;0;0;0
3111;Oberegg;3111;16;1197;0;1467;81;782;1021;290;180;130;-0.89;0;94;0;0;0;0;0;0;0;0;0;0
3201;Häggenschwil;3201;17;170;0;910;80;653;989;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3202;Muolen;3202;17;516;0;1033;72;730;1081;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3204;Wittenbach;3204;17;8582;0;1221;240;850;1072;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3211;Berg (SG);3211;17;154;0;374;47;231;1212;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3212;Eggersriet;3212;17;717;0;883;83;558;1325;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3213;Goldach;3213;17;10138;0;470;246;373;1081;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3214;Mörschwil;3214;17;475;0;984;180;635;1354;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3215;Rorschach;3215;17;25227;0;177;160;169;938;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3216;Rorschacherberg;3216;17;2650;0;711;194;455;1044;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3217;Steinach;3217;17;374;0;448;125;325;1075;320;120;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3218;Tübach;3218;17;1570;0;199;62;149;1253;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3219;Untereggen;3219;17;142;0;711;39;332;1137;380;550;200;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3231;Au (SG);3231;17;20333;0;468;225;408;1098;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3232;Balgach;3232;17;5914;0;650;152;487;1120;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3233;Berneck;3233;17;2216;0;562;113;306;1120;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3234;Diepoldsau;3234;17;3385;0;1120;227;959;1199;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3235;Rheineck;3235;17;16266;0;218;111;172;1005;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3236;St. Margrethen;3236;17;31207;19260;685;239;413;1014;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3237;Thal;3237;17;3341;0;964;346;681;1049;380;550;200;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3238;Widnau;3238;17;14235;0;423;250;380;1105;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3251;Altstätten;3251;17;17992;0;3949;504;2574;1003;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3252;Eichberg;3252;17;459;0;543;52;288;1207;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3253;Marbach (SG);3253;17;4658;0;439;74;381;1062;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3254;Oberriet (SG);3254;17;4121;0;3453;444;2216;988;250;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3255;Rebstein;3255;17;10963;0;439;132;377;1044;250;110;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3256;Rüthi (SG);3256;17;869;0;934;128;496;1031;250;110;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3271;Buchs (SG);3271;17;35627;0;1595;400;847;1057;290;180;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3272;Gams;3272;17;1998;12310;2226;151;1156;1004;290;180;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3273;Grabs;3273;17;4056;0;5464;265;1629;1092;290;180;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3274;Sennwald;3274;17;28369;0;4152;392;2033;1106;290;180;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3275;Sevelen;3275;17;5010;0;3034;213;1091;1095;290;180;100;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3276;Wartau;3276;17;2644;0;4176;266;1092;978;290;180;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3291;Bad Ragaz;3291;17;9543;0;2535;243;715;1103;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3292;Flums;3292;17;5499;0;7511;295;1446;875;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3293;Mels;3293;17;31294;0;13912;359;1524;1113;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3294;Pfäfers;3294;17;417;0;12853;138;775;931;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3295;Quarten;3295;17;1240;0;6180;214;769;886;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3296;Sargans;3296;17;12881;17000;946;191;542;999;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3297;Vilters-Wangs;3297;17;3085;0;3274;167;778;1066;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3298;Walenstadt;3298;17;5431;0;4567;243;914;1072;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3311;Amden;3311;17;508;0;4302;116;761;1117;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3312;Benken (SG);3312;17;1022;0;1645;149;1326;1122;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3313;Kaltbrunn;3313;17;1862;0;1867;145;1006;1158;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3314;Rieden;3341;17;0;0;1144;35;251;1220;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3315;Schänis;3315;17;3475;0;3994;173;1480;1199;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3316;Weesen;3316;17;332;0;539;49;198;1311;270;130;100;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3331;Ernetschwil;3341;17;783;0;1027;79;748;1328;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3332;Eschenbach (SG);3342;17;3139;0;1327;199;975;1062;510;680;180;0.02;0;92;0;0;0;0;0;0;0;0;0;0
3333;Goldingen;3342;17;188;0;2210;82;881;1194;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3334;Gommiswald;3341;17;898;0;1185;99;527;1241;510;680;180;0.02;0;94;0;0;0;0;0;0;0;0;0;0
3335;Jona;3340;17;16508;0;1399;400;894;2460;510;680;180;0.02;0;92;0;0;0;0;0;0;0;0;0;0
