"munid";"name";"cantid"
1;"Aeugst am Albis";1
2;"Affoltern am Albis";1
3;"Bonstetten";1
4;"Hausen am Albis";1
5;"Hedingen";1
6;"Kappel am Albis";1
7;"Knonau";1
8;"Maschwanden";1
9;"Mettmenstetten";1
10;"Obfelden";1
11;"Ottenbach";1
12;"Rifferswil";1
13;"Stallikon";1
14;"Wettswil am Albis";1
21;"Adlikon";1
22;"Benken (ZH)";1
23;"Berg am Irchel";1
24;"Buch am Irchel";1
25;"Dachsen";1
26;"Dorf";1
27;"Feuerthalen";1
28;"Flaach";1
29;"Flurlingen";1
30;"Andelfingen";1
31;"Henggart";1
32;"Humlikon";1
33;"Kleinandelfingen";1
34;"Laufen-Uhwiesen";1
35;"Marthalen";1
36;"Oberstammheim";1
37;"Ossingen";1
38;"Rheinau";1
39;"Thalheim an der Thur";1
40;"Trüllikon";1
41;"Truttikon";1
42;"Unterstammheim";1
43;"Volken";1
44;"Waltalingen";1
51;"Bachenbülach";1
52;"Bassersdorf";1
53;"Bülach";1
54;"Dietlikon";1
55;"Eglisau";1
56;"Embrach";1
57;"Freienstein-Teufen";1
58;"Glattfelden";1
59;"Hochfelden";1
60;"Höri";1
61;"Hüntwangen";1
62;"Kloten";1
63;"Lufingen";1
64;"Nürensdorf";1
65;"Oberembrach";1
66;"Opfikon";1
67;"Rafz";1
68;"Rorbas";1
69;"Wallisellen";1
70;"Wasterkingen";1
71;"Wil (ZH)";1
72;"Winkel";1
81;"Bachs";1
82;"Boppelsen";1
83;"Buchs (ZH)";1
84;"Dällikon";1
85;"Dänikon";1
86;"Dielsdorf";1
87;"Hüttikon";1
88;"Neerach";1
89;"Niederglatt";1
90;"Niederhasli";1
91;"Niederweningen";1
92;"Oberglatt";1
93;"Oberweningen";1
94;"Otelfingen";1
95;"Regensberg";1
96;"Regensdorf";1
97;"Rümlang";1
98;"Schleinikon";1
99;"Schöfflisdorf";1
100;"Stadel";1
101;"Steinmaur";1
102;"Weiach";1
111;"Bäretswil";1
112;"Bubikon";1
113;"Dürnten";1
114;"Fischenthal";1
115;"Gossau (ZH)";1
116;"Grüningen";1
117;"Hinwil";1
118;"Rüti (ZH)";1
119;"Seegräben";1
120;"Wald (ZH)";1
121;"Wetzikon (ZH)";1
131;"Adliswil";1
132;"Hirzel";1
133;"Horgen";1
134;"Hütten";1
135;"Kilchberg (ZH)";1
136;"Langnau am Albis";1
137;"Oberrieden";1
138;"Richterswil";1
139;"Rüschlikon";1
140;"Schönenberg (ZH)";1
141;"Thalwil";1
142;"Wädenswil";1
151;"Erlenbach (ZH)";1
152;"Herrliberg";1
153;"Hombrechtikon";1
154;"Küsnacht (ZH)";1
155;"Männedorf";1
156;"Meilen";1
157;"Oetwil am See";1
158;"Stäfa";1
159;"Uetikon am See";1
160;"Zumikon";1
161;"Zollikon";1
171;"Bauma";1
172;"Fehraltorf";1
173;"Hittnau";1
174;"Illnau-Effretikon";1
175;"Kyburg";1
176;"Lindau";1
177;"Pfäffikon";1
178;"Russikon";1
179;"Sternenberg";1
180;"Weisslingen";1
181;"Wila";1
182;"Wildberg";1
191;"Dübendorf";1
192;"Egg";1
193;"Fällanden";1
194;"Greifensee";1
195;"Maur";1
196;"Mönchaltorf";1
197;"Schwerzenbach";1
198;"Uster";1
199;"Volketswil";1
200;"Wangen-Brüttisellen";1
211;"Altikon";1
212;"Bertschikon";1
213;"Brütten";1
214;"Dägerlen";1
215;"Dättlikon";1
216;"Dinhard";1
217;"Elgg";1
218;"Ellikon an der Thur";1
219;"Elsau";1
220;"Hagenbuch";1
221;"Hettlingen";1
222;"Hofstetten (ZH)";1
223;"Neftenbach";1
224;"Pfungen";1
225;"Rickenbach (ZH)";1
226;"Schlatt (ZH)";1
227;"Seuzach";1
228;"Turbenthal";1
229;"Wiesendangen";1
230;"Winterthur";1
231;"Zell (ZH)";1
241;"Aesch (ZH)";1
242;"Birmensdorf (ZH)";1
243;"Dietikon";1
244;"Geroldswil";1
