from;to;km;min
3001;3001;0.5;6
3001;3002;8;11
3001;3003;10;10
3001;3004;7;9
3001;3005;9;10
3001;3006;10;11
3001;3007;4;5
3001;3021;17;18
3001;3022;19;19
3001;3023;20;21
3001;3024;15;16
3001;3025;21;21
3001;3031;23;22
3001;3032;25;23
3001;3033;31;24
3001;3034;22;23
3001;3035;30.5;29
3001;3036;25;26
3001;3037;34;28
3001;3038;33;25
3001;3101;14;15
3001;3102;14;14
3001;3103;17;19
3001;3104;14;16
3001;3105;17;19
3001;3111;28.5;26
3001;3201;20;21
3001;3202;21;21
3001;3204;15;15
3001;3211;19;19
3001;3212;20.5;21
3001;3213;20;18
3001;3214;17;15
3001;3215;22;20
3001;3216;23;21
3001;3217;23;21
3001;3218;20;17
3001;3219;17.5;16
3001;3231;39;29
3001;3232;42;31
3001;3233;40;28
3001;3234;43;29
3001;3235;30;22
3001;3236;36;25
3001;3237;30;23
3001;3238;42;30
3001;3251;29;28
3001;3252;24;24
3001;3253;31;30
3001;3254;31;31
3001;3255;33;32
3001;3256;32;31
3001;3271;50.5;42
3001;3272;48;41
3001;3273;51;44
3001;3274;41;41
3001;3275;55.5;45
3001;3276;62;48
3001;3291;70.5;53
3001;3292;77.5;56
3001;3293;69;54
3001;3294;77.5;59
3001;3295;65.5;54
3001;3296;68;54
3001;3297;70;54
3001;3298;76.5;60
3001;3311;57;49
3001;3312;40;36
3001;3313;38;33
3001;3314;38;34
3001;3315;45;39
3001;3316;52;44
3001;3331;39;37
3001;3332;42;36
3001;3333;45;42
3001;3334;36;34
3001;3335;48.5;42
3001;3336;50;42
3001;3337;38;35
3001;3338;43;37
3001;3339;39;35
3001;3351;36;33
3001;3352;31;28
3001;3354;26;33
3001;3355;27;25
3001;3356;30;27
3001;3357;41;36
3001;3371;17;17
3001;3372;17;16
3001;3373;26;24
3001;3374;22;21
3001;3375;18;19
3001;3376;16;17
3001;3377;25;24
3001;3391;22;21
3001;3392;27;22
3001;3393;22;22
3001;3394;26;27
3001;3401;9;11
3001;3402;10;11
3001;3403;20;19
3001;3405;23;24
3001;3406;14;17
3001;3407;17;17
3001;3408;15;15
3001;3421;26;22
3001;3422;12;14
3001;3423;17;16
3001;3424;11.5;18
3001;3425;23;17
3001;3426;18;16
3001;3441;9;13
3001;3442;10;15
3001;3443;5;8
3001;3444;13;18
3001;320301;7.5;15
3001;320302;9;14
3001;320303;12;13
3002;3001;8;11
3002;3002;0.5;6
3002;3003;12;12
3002;3004;10;12
3002;3005;6;7
3002;3006;7;9
3002;3007;6;7
3002;3021;14;15
3002;3022;16;16
3002;3023;17;18
3002;3024;11;13
3002;3025;18;17
3002;3031;26;25
3002;3032;27;25
3002;3033;34;31
3002;3034;23;22
3002;3035;31;29
3002;3036;23;23
3002;3037;35;32
3002;3038;30;28
3002;3101;11;12
3002;3102;10;12
3002;3103;14;16
3002;3104;11;13
3002;3105;14;16
3002;3111;28;27
3002;3201;24;27
3002;3202;27;29
3002;3204;18;21
3002;3211;22;24
3002;3212;26;26
3002;3213;24;24
3002;3214;20;22
3002;3215;26;27
3002;3216;27;28
3002;3217;26;27
3002;3218;24;23
3002;3219;21;22
3002;3231;43;35
3002;3232;32;32
3002;3233;34;32
3002;3234;35;33
3002;3235;33;29
3002;3236;40;32
3002;3237;33;30
3002;3238;37;35
3002;3251;26;25
3002;3252;21;21
3002;3253;28;27
3002;3254;28;28
3002;3255;30;29
3002;3256;29;28
3002;3271;47;39
3002;3272;45;38
3002;3273;47.5;41
3002;3274;38;38
3002;3275;52.5;42
3002;3276;58.5;45
3002;3291;67.5;50
3002;3292;74;53
3002;3293;66;51
3002;3294;74.5;56
3002;3295;67.5;56
3002;3296;65;50
3002;3297;66.5;51
3002;3298;77;57
3002;3311;59;51
3002;3312;42;38
3002;3313;40;35
3002;3314;40;36
3002;3315;47;41
3002;3316;54;46
3002;3331;40;39
3002;3332;43;38
3002;3333;47;43
3002;3334;38;36
3002;3335;50.5;44
3002;3336;52;44
3002;3337;40;37
3002;3338;45;39
3002;3339;41;37
3002;3351;38;34
3002;3352;33;30
3002;3354;26;33
3002;3355;29;27
3002;3356;32;29
3002;3357;43;38
3002;3371;19;19
3002;3372;19;18
3002;3373;28;26
3002;3374;24;23
3002;3375;24;23
3002;3376;17;19
3002;3377;27;26
3002;3391;28;26
3002;3392;32;31
3002;3393;29;28
3002;3394;33;33
3002;3401;17;18
3002;3402;18;21
3002;3403;27;26
3002;3405;30;30
3002;3406;21;23
3002;3407;25.5;26
3002;3408;23;25
3002;3421;36;32
3002;3422;20;23
3002;3423;26.5;26
3002;3424;20;28
3002;3425;32;27
3002;3426;27.5;26
3002;3441;18;23
3002;3442;17;22
3002;3443;13;18
3002;3444;22;28
3002;320301;10;16
3002;320302;13;14
3002;320303;16;19
3003;3001;10;10
3003;3002;12;12
3003;3003;0.5;6
3003;3004;5;6
3003;3005;13;12
3003;3006;6;8
3003;3007;7;7
3003;3021;21;20
3003;3022;23;20
3003;3023;23;22
3003;3024;18;18
3003;3025;25;22
3003;3031;33;29
3003;3032;34;30
3003;3033;40;34
3003;3034;30;26
3003;3035;37;34
3003;3036;30;27
3003;3037;43;38
3003;3038;37;32
3003;3101;18;16
3003;3102;12;13
3003;3103;21;20
3003;3104;17;18
3003;3105;21;21
3003;3111;35;32
3003;3201;28;29
3003;3202;29;30
3003;3204;25;25
3003;3211;28;28
3003;3212;30.5;30
3003;3213;30;27
3003;3214;26;25
3003;3215;32;30
3003;3216;33;31
3003;3217;33;31
3003;3218;30;27
3003;3219;27;26
3003;3231;49;38
3003;3232;39;37
3003;3233;41;36
3003;3234;50;39
3003;3235;39;32
3003;3236;46;35
3003;3237;39;32
3003;3238;51;40
3003;3251;33;30
3003;3252;28;25
3003;3253;35;31
3003;3254;35;33
3003;3255;37;34
3003;3256;36;32
3003;3271;46;40
3003;3272;41;35
3003;3273;43;38
3003;3274;45;43
3003;3275;51;45
3003;3276;65.5;50
3003;3291;74.5;55
3003;3292;65.5;52
3003;3293;73;56
3003;3294;81.5;61
3003;3295;56.5;47
3003;3296;72;55
3003;3297;73.5;56
3003;3298;60.5;52
3003;3311;47;41
3003;3312;31;29
3003;3313;28;26
3003;3314;29;27
3003;3315;35;32
3003;3316;42;37
3003;3331;29;29
3003;3332;32;28
3003;3333;36;34
