from;to;km;min
3001;3001;0.5;9
3001;3002;4.975;8
3001;3003;8.674;14
3001;3004;4.861;14
3001;3005;7.587;15
3001;3006;10.145;15
3001;3007;3.995;6
3001;3021;19.749;44
3001;3022;24.099;52
3001;3023;18.686;47
3001;3024;14.518;29
3001;3025;20.75;48
3001;3031;20.223;43
3001;3032;24.807;56
3001;3033;31.349;59
3001;3034;18.822;43
3001;3035;39.373;84
3001;3036;23.011;56
3001;3037;34.669;77
3001;3038;31.819;58
3001;3101;20.894;34
3001;3102;15.854;23
3001;3103;24.301;42
3001;3104;21.295;54
3001;3105;22.747;38
3001;3111;31.523;84
3001;3201;22.027;39
3001;3202;22.44;27
3001;3204;14.11;17
3001;3211;17.118;43
3001;3212;17.269;40
3001;3213;22.048;26
3001;3214;13.686;35
3001;3215;32.106;37
3001;3216;25.194;51
3001;3217;22.603;51
3001;3218;18.408;43
3001;3219;15.756;38
3001;3231;38.751;52
3001;3232;42.795;58
3001;3233;43.48;61
3001;3234;44.459;64
3001;3235;31.51;37
3001;3236;34.912;40
3001;3237;33.369;55
3001;3238;40.902;47
3001;3251;47.524;56
3001;3252;53.216;77
3001;3253;46.779;62
3001;3254;54.5;81
3001;3255;44.973;59
3001;3256;57.257;92
3001;3271;74.005;69
3001;3272;70.726;89
3001;3273;71.877;85
3001;3274;77.95;101
3001;3275;79.909;89
3001;3276;84.561;91
3001;3291;93.241;83
3001;3292;84.244;90
3001;3293;86.931;91
3001;3294;104.845;115
3001;3295;65.528;71
3001;3296;87.895;76
3001;3297;93.486;100
3001;3298;74.07;89
3001;3311;56.764;75
3001;3312;40.528;39
3001;3313;36.381;38
3001;3314;44.653;61
3001;3315;47.371;47
3001;3316;53.023;61
3001;3331;31.716;51
3001;3332;43.022;54
3001;3333;48.66;63
3001;3334;40.304;53
3001;3335;52.322;49
3001;3336;50.715;49
3001;3337;33.815;49
3001;3338;40.643;39
3001;3339;37.815;35
3001;3351;45.529;62
3001;3352;28.318;31
3001;3354;32.419;34
3001;3355;35.959;40
3001;3356;40.28;54
3001;3357;50.937;72
3001;3371;16.772;26
3001;3372;30.198;31
3001;3373;27.806;37
3001;3374;21.908;22
3001;3375;30.396;39
3001;3376;8.674;16
3001;3377;23.43;21
3001;3391;30.374;35
3001;3392;34.616;43
3001;3393;33.126;39
3001;3394;32.51;49
3001;3401;7.37;6
3001;3402;13.574;24
3001;3403;36.202;47
3001;3405;31.8;42
3001;3406;12.69;13
3001;3407;23.737;34
3001;3408;19.432;26
3001;3421;32.675;54
3001;3422;23.706;38
3001;3423;30.741;63
3001;3424;14.316;42
3001;3425;27.309;36
3001;3426;30.117;58
3001;3441;9.348;29
3001;3442;10.778;26
3001;3443;5.045;9
3001;3444;16.141;47
3001;320301;5.32;6
3001;320302;9.597;17
3001;320303;13.354;26
3002;3001;4.975;8
3002;3002;0.5;9
3002;3003;8.792;35
3002;3004;10.363;45
3002;3005;2.612;8
3002;3006;15.639;63
3002;3007;3.246;27
3002;3021;13.24;46
3002;3022;16.52;46
3002;3023;19.491;66
3002;3024;8.93;29
3002;3025;21.937;41
3002;3031;21.714;58
3002;3032;24.965;77
3002;3033;30.848;91
3002;3034;19.047;75
3002;3035;35.236;102
3002;3036;23.913;58
3002;3037;36.716;98
3002;3038;30.108;91
3002;3101;24.741;51
3002;3102;21.347;61
3002;3103;29.891;63
3002;3104;14.306;53
3002;3105;28.339;63
3002;3111;29.758;91
3002;3201;25.009;65
3002;3202;23.853;60
3002;3204;16.437;48
3002;3211;17.209;56
3002;3212;18.805;55
3002;3213;24.057;49
3002;3214;14.233;40
3002;3215;25.991;63
3002;3216;27.798;84
3002;3217;21.891;59
3002;3218;18.721;50
3002;3219;16.034;60
3002;3231;40.113;75
3002;3232;44.478;86
3002;3233;44.567;86
3002;3234;46.081;91
3002;3235;33.559;64
3002;3236;36.567;67
3002;3237;34.101;85
3002;3238;42.481;74
3002;3251;43.861;85
3002;3252;55.244;104
3002;3253;45.974;90
3002;3254;56.943;110
3002;3255;46.715;81
3002;3256;58.422;122
3002;3271;74.723;103
3002;3272;75.384;118
3002;3273;75.314;117
3002;3274;81.751;130
3002;3275;80.716;120
3002;3276;85.097;125
3002;3291;96.34;121
3002;3292;90.587;118
3002;3293;91.377;121
3002;3294;102.925;158
3002;3295;83.241;108
3002;3296;90.39;114
3002;3297;96.645;143
3002;3298;88.714;117
3002;3311;64.628;100
3002;3312;46.67;64
3002;3313;44.04;77
3002;3314;51.101;90
3002;3315;52.684;69
3002;3316;60.843;86
3002;3331;38.204;81
3002;3332;49.456;80
3002;3333;56.527;89
3002;3334;45.953;80
3002;3335;58.486;73
3002;3336;56.879;73
3002;3337;40.993;73
3002;3338;46.83;63
3002;3339;43.949;58
3002;3351;51.436;87
3002;3352;34.043;54
3002;3354;38.3;59
3002;3355;41.89;65
3002;3356;46.187;80
3002;3357;59.801;107
3002;3371;22.054;59
3002;3372;31.815;73
3002;3373;33.584;69
