NR;CODE;NAME;TYPNR;UDA_PLZ;KT_NO;KT_KZ;xCent;yCent
1;0;Aeugst am Albis;0;0;1;ZH;679267.8649;236366.2893
2;0;Affoltern am Albis;0;0;1;ZH;676510.9523;236870.069
3;0;Bonstetten;0;0;1;ZH;677948.3195;241395.8675
4;0;Hausen am Albis;0;0;1;ZH;683240.5255;232749.8706
5;0;Hedingen;0;0;1;ZH;676258.766;239134.3629
6;0;Kappel am Albis;0;0;1;ZH;681454.2134;231155.2327
7;0;Knonau;0;0;1;ZH;677467.6821;230769.6749
8;0;Maschwanden;0;0;1;ZH;674770.7433;231972.7883
9;0;Mettmenstetten;0;0;1;ZH;677608.0736;233216.7778
10;0;Obfelden;0;0;1;ZH;674418.4394;235276.4417
11;0;Ottenbach;0;0;1;ZH;673189.8972;237020.3282
12;0;Rifferswil;0;0;1;ZH;679992.0856;233265.9561
13;0;Stallikon;0;0;1;ZH;679257.7387;243074.8039
14;0;Wettswil am Albis;0;0;1;ZH;678166.3959;243286.1909
21;0;Adlikon;0;0;1;ZH;694300.0001;271000.0001
22;0;Benken (ZH);0;0;1;ZH;691302.688;278770.191
23;0;Berg am Irchel;0;0;1;ZH;687277.8269;269047.5344
24;0;Buch am Irchel;0;0;1;ZH;689178.0248;267354.0398
25;0;Dachsen;0;0;1;ZH;688455.6258;280097.4349
26;0;Dorf;0;0;1;ZH;690971.5037;269784.3708
27;0;Feuerthalen;0;0;1;ZH;690788.72;282741.0464
28;0;Flaach;0;0;1;ZH;687924.1633;270245.2142
29;0;Flurlingen;0;0;1;ZH;689411.2907;282429.5421
30;0;Andelfingen;0;0;1;ZH;693282.0416;272191.0957
31;0;Henggart;0;0;1;ZH;693676.4103;268853.2133
32;0;Humlikon;0;0;1;ZH;692620.0961;270217.8668
33;0;Kleinandelfingen;0;0;1;ZH;693296.171;273287.8022
34;0;Laufen-Uhwiesen;0;0;1;ZH;689792.2536;280739.5937
35;0;Marthalen;0;0;1;ZH;690948.6497;275929.5215
36;0;Oberstammheim;0;0;1;ZH;702178.754;276321.5487
37;0;Ossingen;0;0;1;ZH;696842.2609;274321.7856
38;0;Rheinau;0;0;1;ZH;687700.0001;277700.0001
39;0;Thalheim an der Thur;0;0;1;ZH;698495.8628;270762.9659
40;0;Trüllikon;0;0;1;ZH;693494.3047;277408.6658
41;0;Truttikon;0;0;1;ZH;696877.2186;276262.864
42;0;Unterstammheim;0;0;1;ZH;701417.3656;277528.4402
43;0;Volken;0;0;1;ZH;689304.8996;270050.9516
44;0;Waltalingen;0;0;1;ZH;700201.2405;276199.7985
51;0;Bachenbülach;0;0;1;ZH;683262.2046;262123.3714
52;0;Bassersdorf;0;0;1;ZH;689617.2435;255231.0855
53;0;Bülach;0;0;1;ZH;682909.3944;263739.4655
54;0;Dietlikon;0;0;1;ZH;689122.3323;252646.4823
55;0;Eglisau;0;0;1;ZH;681541.2847;269926.8346
56;0;Embrach;0;0;1;ZH;686929.6158;263031.3517
57;0;Freienstein-Teufen;0;0;1;ZH;686028.518;265676.4851
58;0;Glattfelden;0;0;1;ZH;679761.6549;268135.4568
59;0;Hochfelden;0;0;1;ZH;681134.7068;264012.96
60;0;Höri;0;0;1;ZH;680754.455;262524.1613
61;0;Hüntwangen;0;0;1;ZH;679382.5182;272102.0251
62;0;Kloten;0;0;1;ZH;685843.0906;256223.6589
63;0;Lufingen;0;0;1;ZH;687124.9521;259931.5872
64;0;Nürensdorf;0;0;1;ZH;691133.8554;256750.4814
65;0;Oberembrach;0;0;1;ZH;689752.0024;260460.893
66;0;Opfikon;0;0;1;ZH;684848.3985;253962.2261
67;0;Rafz;0;0;1;ZH;682835.1481;273967.6502
68;0;Rorbas;0;0;1;ZH;685649.1863;265170.8321
69;0;Wallisellen;0;0;1;ZH;687021.1764;251997.3307
70;0;Wasterkingen;0;0;1;ZH;677677.5067;271588.7929
71;0;Wil (ZH);0;0;1;ZH;680316.5693;273173.9585
72;0;Winkel;0;0;1;ZH;684253.7846;260296.8532
81;0;Bachs;0;0;1;ZH;675145.4068;264364.3865
82;0;Boppelsen;0;0;1;ZH;672751.2379;258131.0268
83;0;Buchs (ZH);0;0;1;ZH;675350.2285;256565.4236
84;0;Dällikon;0;0;1;ZH;675324.4835;255277.8447
85;0;Dänikon;0;0;1;ZH;673024.1031;255557.7825
86;0;Dielsdorf;0;0;1;ZH;676783.7475;259428.7418
87;0;Hüttikon;0;0;1;ZH;671490.3469;255348.392
88;0;Neerach;0;0;1;ZH;677864.3007;262533.4101
89;0;Niederglatt;0;0;1;ZH;679962.3528;260614.8858
90;0;Niederhasli;0;0;1;ZH;679318.5019;258799.7
91;0;Niederweningen;0;0;1;ZH;670469.6832;262282.5058
92;0;Oberglatt;0;0;1;ZH;680958.8662;258977.596
93;0;Oberweningen;0;0;1;ZH;672901.5605;261680.3577
94;0;Otelfingen;0;0;1;ZH;672315.4259;256873.3859
95;0;Regensberg;0;0;1;ZH;675204.8631;259501.5721
96;0;Regensdorf;0;0;1;ZH;677636.6667;254839.735
97;0;Rümlang;0;0;1;ZH;682489.1123;255958.2935
98;0;Schleinikon;0;0;1;ZH;672016.3205;261339.9522
99;0;Schöfflisdorf;0;0;1;ZH;673646.3376;261536.3855
100;0;Stadel;0;0;1;ZH;677402.6703;265250.1208
101;0;Steinmaur;0;0;1;ZH;676161.6094;260780.8223
102;0;Weiach;0;0;1;ZH;675241.0075;267931.4412
111;0;Bäretswil;0;0;1;ZH;707242.0413;243847.8945
112;0;Bubikon;0;0;1;ZH;703777.1697;235661.5625
113;0;Dürnten;0;0;1;ZH;706858.3236;236701.3459
114;0;Fischenthal;0;0;1;ZH;712429.8913;243595.3761
115;0;Gossau (ZH);0;0;1;ZH;700465.344;240273.6697
116;0;Grüningen;0;0;1;ZH;700028.6852;237424.0091
117;0;Hinwil;0;0;1;ZH;705827.8653;239958.3383
118;0;Rüti (ZH);0;0;1;ZH;707176.5167;235059.4552
119;0;Seegräben;0;0;1;ZH;700296.2528;243723.9388
120;0;Wald (ZH);0;0;1;ZH;712019.218;237120.1451
121;0;Wetzikon (ZH);0;0;1;ZH;702941.1583;242651.6812
131;0;Adliswil;0;0;1;ZH;682081.098;240822.801
132;0;Hirzel;0;0;1;ZH;688463.7056;230194.5685
133;0;Horgen;0;0;1;ZH;687817.2501;234423.3865
134;0;Hütten;0;0;1;ZH;692780.0115;225708.7493
135;0;Kilchberg (ZH);0;0;1;ZH;683658.9006;241750.585
136;0;Langnau am Albis;0;0;1;ZH;682969.3396;238033.7803
137;0;Oberrieden;0;0;1;ZH;686199.8727;236644.3682
138;0;Richterswil;0;0;1;ZH;694917.4219;228719.9589
139;0;Rüschlikon;0;0;1;ZH;684041.7205;240193.3504
140;0;Schönenberg (ZH);0;0;1;ZH;691202.1272;227835.614
141;0;Thalwil;0;0;1;ZH;684987.1375;238334.4106
142;0;Wädenswil;0;0;1;ZH;692509.5638;231829.8543
151;0;Erlenbach (ZH);0;0;1;ZH;687698.8098;239718.0745
152;0;Herrliberg;0;0;1;ZH;689011.404;238437.1955
153;0;Hombrechtikon;0;0;1;ZH;700996.44;234182.5459
154;0;Küsnacht (ZH);0;0;1;ZH;687092.7963;241748.9453
155;0;Männedorf;0;0;1;ZH;695136.8778;234574.7647
156;0;Meilen;0;0;1;ZH;691039.6372;236481.994
157;0;Oetwil am See;0;0;1;ZH;697192.7208;236513.6964
158;0;Stäfa;0;0;1;ZH;698175.4898;233008.1627
159;0;Uetikon am See;0;0;1;ZH;693938.5589;235750.3161
160;0;Zumikon;0;0;1;ZH;689417.9801;243106.0548
161;0;Zollikon;0;0;1;ZH;686761.0952;244286.5845
171;0;Bauma;0;0;1;ZH;708146.2548;248094.2099
172;0;Fehraltorf;0;0;1;ZH;698915.3967;249589.7325
173;0;Hittnau;0;0;1;ZH;704738.8562;247219.0141
174;0;Illnau-Effretikon;0;0;1;ZH;694988.6349;253306.0385
175;0;Kyburg;0;0;1;ZH;698790.4532;257088.1167
176;0;Lindau;0;0;1;ZH;694076.5682;255298.5198
177;0;Pfäffikon;0;0;1;ZH;701700.6504;247115.394
178;0;Russikon;0;0;1;ZH;701096.2069;250591.3756
179;0;Sternenberg;0;0;1;ZH;711293.9726;249707.4537
180;0;Weisslingen;0;0;1;ZH;700338.2763;254149.8091
181;0;Wila;0;0;1;ZH;706502.057;252732.0725
182;0;Wildberg;0;0;1;ZH;704194.509;253152.5355
191;0;Dübendorf;0;0;1;ZH;688687.6352;250252.1068
192;0;Egg;0;0;1;ZH;694940.3495;239359.8659
193;0;Fällanden;0;0;1;ZH;690516.8107;247235.5938
194;0;Greifensee;0;0;1;ZH;693984.847;246959.1383
195;0;Maur;0;0;1;ZH;691494.9929;244239.507
196;0;Mönchaltorf;0;0;1;ZH;696992.9034;240686.5122
197;0;Schwerzenbach;0;0;1;ZH;691996.8899;248913.1769
198;0;Uster;0;0;1;ZH;696401.0976;245355.5711
199;0;Volketswil;0;0;1;ZH;693621.8046;249208.5989
200;0;Wangen-Brüttisellen;0;0;1;ZH;690230.3441;252551.1504
211;0;Altikon;0;0;1;ZH;701169.834;270100.1525
212;0;Bertschikon;0;0;1;ZH;704620.228;266050.6082
213;0;Brütten;0;0;1;ZH;693220.3825;258788.5767
214;0;Dägerlen;0;0;1;ZH;696991.0145;268774.105
215;0;Dättlikon;0;0;1;ZH;689233.729;264433.1301
216;0;Dinhard;0;0;1;ZH;699648.1677;268251.9195
217;0;Elgg;0;0;1;ZH;707627.3833;261405.0777
218;0;Ellikon an der Thur;0;0;1;ZH;704436.9924;268960.2039
219;0;Elsau;0;0;1;ZH;702500.7879;262104.1034
220;0;Hagenbuch;0;0;1;ZH;708649.5869;264097.6705
221;0;Hettlingen;0;0;1;ZH;695423.3727;266977.0996
222;0;Hofstetten bei Elgg;0;0;1;ZH;706244.7884;259801.2547
223;0;Neftenbach;0;0;1;ZH;692539.2669;264861.5147
224;0;Pfungen;0;0;1;ZH;690689.8421;263417.5062
225;0;Rickenbach (ZH);0;0;1;ZH;701811.2931;266760.5465
226;0;Schlatt;0;0;1;ZH;704676.4771;258822.3966
227;0;Seuzach;0;0;1;ZH;696973.0255;265525.6616
228;0;Turbenthal;0;0;1;ZH;706855.8798;254979.4055
229;0;Wiesendangen;0;0;1;ZH;701628.3201;264667.8829
231;0;Zell (ZH);0;0;1;ZH;702276.3998;256492.3328
241;0;Aesch bei Birmensdorf;0;0;1;ZH;675690.7504;243384.7087
242;0;Birmensdorf (ZH);0;0;1;ZH;675932.6685;245632.0804
243;0;Dietikon;0;0;1;ZH;672694.1425;251179.3298
244;0;Geroldswil;0;0;1;ZH;673504.4927;252496.8129
245;0;Oberengstringen;0;0;1;ZH;677345.0441;251360.6375
246;0;Oetwil an der Limmat;0;0;1;ZH;672305.6198;253481.5504
247;0;Schlieren;0;0;1;ZH;676104.1706;250208.0166
248;0;Uitikon;0;0;1;ZH;677128.4344;246800.9618
249;0;Unterengstringen;0;0;1;ZH;675978.8978;251686.1716
250;0;Urdorf;0;0;1;ZH;674385.5882;248914.2095
251;0;Weiningen (ZH);0;0;1;ZH;674747.2934;252133.9484
301;0;Aarberg;0;0;2;BE;587741.9651;210539.7901
302;0;Bargen (BE);0;0;2;BE;586410.5115;209852.4445
303;0;Grossaffoltern;0;0;2;BE;593439.7385;212923.7729
304;0;Kallnach;0;0;2;BE;584416.706;207799.5235
305;0;Kappelen;0;0;2;BE;587342.8835;212741.0558
306;0;Lyss;0;0;2;BE;589853.4359;213775.6452
307;0;Meikirch;0;0;2;BE;594938.4774;205848.6344
308;0;Niederried bei Kallnach;0;0;2;BE;585222.7929;206548.3458
309;0;Radelfingen;0;0;2;BE;587328.1064;206087.9577
310;0;Rapperswil (BE);0;0;2;BE;598364.606;211712.9519
311;0;Schüpfen;0;0;2;BE;595239.9843;209914.0486
312;0;Seedorf (BE);0;0;2;BE;590412.9643;209137.9484
321;0;Aarwangen;0;0;2;BE;625281.7445;231907.6818
322;0;Auswil;0;0;2;BE;629769.6883;220501.4171
323;0;Bannwil;0;0;2;BE;622557.1387;232271.7623
324;0;Bleienbach;0;0;2;BE;623702.6297;225930.3069
325;0;Busswil bei Melchnau;0;0;2;BE;629793.4947;226215.0519
326;0;Gondiswil;0;0;2;BE;632874.1498;221318.3919
327;0;Gutenburg;0;0;2;BE;627090.0281;225710.516
328;0;Kleindietwil;0;0;2;BE;626737.3764;221472.9381
329;0;Langenthal;0;0;2;BE;626293.6114;229456.2434
330;0;Leimiswil;0;0;2;BE;625154.8112;222280.7967
331;0;Lotzwil;0;0;2;BE;626633.0571;226801.6815
332;0;Madiswil;0;0;2;BE;627678.0899;223791.1059
333;0;Melchnau;0;0;2;BE;631242.5306;225805.4937
334;0;Obersteckholz;0;0;2;BE;629216.4493;227847.248
335;0;Oeschenbach;0;0;2;BE;623484.9193;217657.2814
336;0;Reisiswil;0;0;2;BE;630687.2486;223641.7403
