"locid";"denot";"subarea_nr";"urban_centre"
3001;"Herisau";15;0
3002;"Hundwil";15;0
3003;"Schönengrund";15;0
3004;"Schwellbrunn";15;0
3005;"Stein (AR)";15;0
3006;"Urnäsch";15;0
3007;"Waldstatt";15;0
3021;"Bühler";15;0
3022;"Gais";15;0
3023;"Speicher";15;0
3024;"Teufen (AR)";15;0
3025;"Trogen";15;0
3031;"Grub (AR)";15;0
3032;"Heiden";15;0
3033;"Lutzenberg";15;0
3034;"Rehetobel";15;0
3035;"Reute (AR)";15;0
3036;"Wald (AR)";15;0
3037;"Walzenhausen";15;0
3038;"Wolfhalden";15;0
3101;"Appenzell";16;0
3102;"Gonten";16;0
3103;"Rüte";16;0
3104;"Schlatt-Haslen";16;0
3105;"Schwende";16;0
3111;"Oberegg";16;0
3201;"Häggenschwil";17;0
3202;"Muolen";17;0
3204;"Wittenbach";17;0
3211;"Berg (SG)";17;0
3212;"Eggersriet";17;0
3213;"Goldach";17;0
3214;"Mörschwil";17;0
3215;"Rorschach";17;0
3216;"Rorschacherberg";17;0
3217;"Steinach";17;0
3218;"Tübach";17;0
3219;"Untereggen";17;0
3231;"Au (SG)";17;0
3232;"Balgach";17;0
3233;"Berneck";17;0
3234;"Diepoldsau";17;0
3235;"Rheineck";17;0
3236;"St. Margrethen";17;0
3237;"Thal";17;0
3238;"Widnau";17;0
3251;"Altstätten";17;0
3252;"Eichberg";17;0
3253;"Marbach (SG)";17;0
3254;"Oberriet (SG)";17;0
3255;"Rebstein";17;0
3256;"Rüthi (SG)";17;0
3271;"Buchs (SG)";17;0
3272;"Gams";17;0
3273;"Grabs";17;0
3274;"Sennwald";17;0
3275;"Sevelen";17;0
3276;"Wartau";17;0
3291;"Bad Ragaz";17;0
3292;"Flums";17;0
3293;"Mels";17;0
3294;"Pfäfers";17;0
3295;"Quarten";17;0
3296;"Sargans";17;0
3297;"Vilters-Wangs";17;0
3298;"Walenstadt";17;0
3311;"Amden";17;0
3312;"Benken (SG)";17;0
3313;"Kaltbrunn";17;0
3314;"Rieden";17;0
3315;"Schänis";17;0
3316;"Weesen";17;0
3331;"Ernetschwil";17;0
3332;"Eschenbach (SG)";17;0
3333;"Goldingen";17;0
3334;"Gommiswald";17;0
3335;"Jona";17;0
3336;"Rapperswil (SG)";17;0
3337;"St. Gallenkappel";17;0
3338;"Schmerikon";17;0
3339;"Uznach";17;0
3351;"Alt St. Johann";17;0
3352;"Ebnat-Kappel";17;0
3354;"Krummenau";17;0
3355;"Nesslau";17;0
3356;"Stein (SG)";17;0
3357;"Wildhaus";17;0
3371;"Brunnadern";17;0
3372;"Hemberg";17;0
3373;"Krinau";17;0
3374;"Lichtensteig";17;0
3375;"Oberhelfenschwil";17;0
3376;"St. Peterzell";17;0
3377;"Wattwil";17;0
3391;"Bütschwil";17;0
3392;"Kirchberg (SG)";17;0
3393;"Lütisburg";17;0
3394;"Mosnang";17;0
3401;"Degersheim";17;0
3402;"Flawil";17;0
3403;"Ganterschwil";17;0
3405;"Jonschwil";17;0
3406;"Mogelsberg";17;0
3407;"Oberuzwil";17;0
3408;"Uzwil";17;0
3421;"Bronschhofen";17;0
3422;"Niederbüren";17;0
3423;"Niederhelfenschwil";17;0
3424;"Oberbüren";17;0
3425;"Wil (SG)";17;0
3426;"Zuzwil (SG)";17;0
3441;"Andwil (SG)";17;0
3442;"Gaiserwald";17;0
3443;"Gossau (SG)";17;0
3444;"Waldkirch";17;0
320301;"St. Gallen West";17;1
320302;"St. Gallen Centrum";17;1
320303;"St. Gallen Ost";17;1
